Date : 2025-09-21 10:01:01
Directory : /home/zougmore/annuaire5
Total : 292 files,  34623 codes, 3016 comments, 3406 blanks, all 41045 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| PHP        |        276 |     18,732 |      2,951 |      3,211 |     24,894 |
| JSON       |          4 |     14,911 |          0 |          4 |     14,915 |
| PostCSS    |          2 |        823 |         36 |        143 |      1,002 |
| JavaScript |          5 |         44 |         24 |         19 |         87 |
| Markdown   |          1 |         40 |          0 |         22 |         62 |
| XML        |          1 |         34 |          0 |          1 |         35 |
| MS SQL     |          1 |         32 |          0 |          1 |         33 |
| SCSS       |          2 |          7 |          5 |          5 |         17 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |        292 |     34,623 |      3,016 |      3,406 |     41,045 |
| . (Files)                                                                                                             |         11 |     15,066 |          2 |         39 |     15,107 |
| app                                                                                                                   |        115 |      5,918 |      1,365 |      1,488 |      8,771 |
| app/Console                                                                                                           |         10 |        172 |        122 |         72 |        366 |
| app/Console (Files)                                                                                                   |          1 |         35 |         12 |         10 |         57 |
| app/Console/Commands                                                                                                  |          9 |        137 |        110 |         62 |        309 |
| app/Exports                                                                                                           |          2 |        100 |          6 |         19 |        125 |
| app/Http                                                                                                              |         60 |      3,690 |        916 |        944 |      5,550 |
| app/Http (Files)                                                                                                      |          1 |         59 |         10 |          6 |         75 |
| app/Http/Controllers                                                                                                  |         41 |      3,193 |        821 |        819 |      4,833 |
| app/Http/Controllers (Files)                                                                                          |         20 |      2,150 |        558 |        558 |      3,266 |
| app/Http/Controllers/Admin                                                                                            |          5 |        515 |         93 |        112 |        720 |
| app/Http/Controllers/Auth                                                                                             |         16 |        528 |        170 |        149 |        847 |
| app/Http/Middleware                                                                                                   |         15 |        314 |         48 |         94 |        456 |
| app/Http/Requests                                                                                                     |          3 |        124 |         37 |         25 |        186 |
| app/Http/Requests (Files)                                                                                             |          2 |         73 |         16 |         11 |        100 |
| app/Http/Requests/Auth                                                                                                |          1 |         51 |         21 |         14 |         86 |
| app/Jobs                                                                                                              |          1 |         14 |          8 |          6 |         28 |
| app/Models                                                                                                            |         22 |        952 |         67 |        222 |      1,241 |
| app/Models (Files)                                                                                                    |         19 |        923 |         67 |        216 |      1,206 |
| app/Models/Leave                                                                                                      |          3 |         29 |          0 |          6 |         35 |
| app/Notifications                                                                                                     |          5 |        174 |         83 |         41 |        298 |
| app/Policies                                                                                                          |          2 |         71 |         42 |         17 |        130 |
| app/Providers                                                                                                         |          4 |         98 |         37 |         31 |        166 |
| app/Services                                                                                                          |          6 |        588 |         69 |        121 |        778 |
| app/Traits                                                                                                            |          1 |         37 |          9 |          7 |         53 |
| app/View                                                                                                              |          2 |         22 |          6 |          8 |         36 |
| app/View/Components                                                                                                   |          2 |         22 |          6 |          8 |         36 |
| bootstrap                                                                                                             |          2 |         19 |          2 |          5 |         26 |
| config                                                                                                                |         16 |        736 |      1,222 |        314 |      2,272 |
| database                                                                                                              |         36 |        897 |        150 |        170 |      1,217 |
| database/factories                                                                                                    |          1 |         30 |         14 |          6 |         50 |
| database/migrations                                                                                                   |         28 |        699 |        115 |        123 |        937 |
| database/seeders                                                                                                      |          7 |        168 |         21 |         41 |        230 |
| public                                                                                                                |          2 |        830 |         40 |        148 |      1,018 |
| public (Files)                                                                                                        |          1 |         10 |          4 |          7 |         21 |
| public/css                                                                                                            |          1 |        820 |         36 |        141 |        997 |
| resources                                                                                                             |         95 |     10,594 |        128 |      1,053 |     11,775 |
| resources/css                                                                                                         |          1 |          3 |          0 |          2 |          5 |
| resources/js                                                                                                          |          2 |          8 |         23 |         12 |         43 |
| resources/sass                                                                                                        |          2 |          7 |          5 |          5 |         17 |
| resources/views                                                                                                       |         90 |     10,576 |        100 |      1,034 |     11,710 |
| resources/views (Files)                                                                                               |          3 |        138 |          0 |         20 |        158 |
| resources/views/admin                                                                                                 |         12 |      2,045 |         11 |        151 |      2,207 |
| resources/views/admin (Files)                                                                                         |          3 |        131 |          0 |         16 |        147 |
| resources/views/admin/parametres                                                                                      |          3 |        242 |          0 |         20 |        262 |
| resources/views/admin/settings                                                                                        |          3 |      1,122 |         11 |         61 |      1,194 |
| resources/views/admin/settings (Files)                                                                                |          2 |        709 |         11 |         42 |        762 |
| resources/views/admin/settings/modals                                                                                 |          1 |        413 |          0 |         19 |        432 |
| resources/views/admin/utilisateurs                                                                                    |          3 |        550 |          0 |         54 |        604 |
| resources/views/agent                                                                                                 |          4 |        574 |          8 |         55 |        637 |
| resources/views/agent (Files)                                                                                         |          2 |        182 |          5 |         24 |        211 |
| resources/views/agent/demande                                                                                         |          2 |        392 |          3 |         31 |        426 |
| resources/views/auth                                                                                                  |         10 |        935 |          3 |        113 |      1,051 |
| resources/views/auth (Files)                                                                                          |          7 |        801 |          3 |         83 |        887 |
| resources/views/auth/passwords                                                                                        |          3 |        134 |          0 |         30 |        164 |
| resources/views/components                                                                                            |         13 |        155 |          2 |         28 |        185 |
| resources/views/dashboards                                                                                            |          4 |         28 |          0 |          8 |         36 |
| resources/views/demandes                                                                                              |         14 |      1,324 |         14 |        117 |      1,455 |
| resources/views/demandes (Files)                                                                                      |          4 |        605 |         13 |         72 |        690 |
| resources/views/demandes/partials                                                                                     |         10 |        719 |          1 |         45 |        765 |
| resources/views/drh                                                                                                   |          8 |      2,302 |         36 |        245 |      2,583 |
| resources/views/drh (Files)                                                                                           |          4 |      1,009 |          6 |         67 |      1,082 |
| resources/views/drh/rapports                                                                                          |          4 |      1,293 |         30 |        178 |      1,501 |
| resources/views/layouts                                                                                               |          6 |        553 |          5 |         72 |        630 |
| resources/views/notifications                                                                                         |          1 |         20 |          0 |          3 |         23 |
| resources/views/president                                                                                             |          2 |        658 |          7 |         47 |        712 |
| resources/views/profile                                                                                               |          5 |        495 |          0 |         65 |        560 |
| resources/views/profile (Files)                                                                                       |          2 |        355 |          0 |         35 |        390 |
| resources/views/profile/partials                                                                                      |          3 |        140 |          0 |         30 |        170 |
| resources/views/responsable                                                                                           |          2 |        627 |          7 |         44 |        678 |
| resources/views/sg                                                                                                    |          2 |        658 |          7 |         47 |        712 |
| resources/views/users                                                                                                 |          4 |         64 |          0 |         19 |         83 |
| routes                                                                                                                |          4 |        302 |         75 |         79 |        456 |
| tests                                                                                                                 |         11 |        261 |         32 |        110 |        403 |
| tests (Files)                                                                                                         |          2 |         16 |         32 |         11 |         59 |
| tests/Feature                                                                                                         |          8 |        241 |          0 |         97 |        338 |
| tests/Feature (Files)                                                                                                 |          2 |         69 |          0 |         25 |         94 |
| tests/Feature/Auth                                                                                                    |          6 |        172 |          0 |         72 |        244 |
| tests/Unit                                                                                                            |          1 |          4 |          0 |          2 |          6 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                              | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/zougmore/annuaire5/README.md                                                                                    | Markdown   |         40 |          0 |         22 |         62 |
| /home/zougmore/annuaire5/app/Console/Commands/CheckLeaveAvailability.php                                              | PHP        |         19 |         13 |          5 |         37 |
